"","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010"
"46054",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,16,NA,NA,16,16,16,16,NA,16,16,16,NA,NA,NA,NA
"46055",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,254,254,254,254,254,254,254,254,254,254,254,254,254,44,254,254
"46102",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
"46110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,277,69,277,NA,277,277,NA,203,203,203,260,NA,260,260,285,285,285,285,285,285,NA
"46112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,94,140,140,140,140,140,NA,156
"46121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141,141,NA,NA,119,119,NA,119,119,119,119,119,119,119,119,119,216,216,216,216,216,216,216,216,216,216,216,216,216
"46123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,280,67,72,72,72,72,72,72,72,69,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72
"46125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,16,16,16,16,16,203,203,203,261,203,NA,NA,74,203,203,203,203,203,203
"46126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,69,69,69,69,69,203,203,203,NA,203,203,203,203,203,203,203,203,203,203
"46145",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,63,257,NA,NA,260,260,260,260,NA,105,105
"46149",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,25,25,NA,16,102,102,102,102,102,102,102,102,102,102,102,102,NA,102,102,102,NA,102,NA,NA,146,NA,NA,NA,119,119
"46150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,213,25,25,25,NA,25,119,69,69,69,69,69,69,69,NA,69,69,NA,198,63,63,63,63,63,63,63,63,63,63,63,205,205
"88001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,16,NA,239,239,239,239,239,239,NA,117,250,NA,NA,NA,56,56,56,NA,NA,NA,NA,NA,250,250,250,250,250,NA,250,250,NA,NA,NA
"88002",NA,48,48,48,48,236,236,236,48,48,25,242,NA,25,115,NA,115,115,115,115,NA,NA,NA,282,282,282,282,282,282,282,12,12,12,12,12,12,12,12,12,12,12,12,43,NA,43
"88003",NA,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,123,123,123,123,123,NA,123,NA,123,60,60,NA,60,60,NA,60,60,60,60
