"","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010"
"88034",NA,4,NA,6,5,1,NA,0,0,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88035",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88036",NA,NA,NA,7,12,15,7,9,6,12,2,NA,7,NA,NA,10,12,12,8,12,8,11,7,16,13,8,17,21,15,15,14,25,NA,6,11,12,6,7,7,NA,NA,8,9,NA,NA
"88037",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,NA,NA,NA,NA,6,3,6,6,6,3,NA,NA,9,7,6,NA,6,11,12,10,11,6,10,NA,10,22,8,NA,NA,11,12
"88038",13,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88039",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,5,5,NA,5,NA,NA,2,NA,NA,4,9,NA,0,4,10,NA,4,NA,NA,NA,NA,NA,NA,6,5,5,0,1,NA,NA,NA,2,3
"88040",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,NA,0,0,0,0,2,1,0,0,0,0,0,0,NA,0,0,0,1,2,1,1,1,NA,1,NA,1,3
"88041",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,0,0,0,1,0,2,0,1,NA,1,1,0,NA,1,1,0,1,1,1,1,0,1,1,1,2,4,0,2,1,NA,2,NA,7,5
"88042",NA,NA,NA,NA,NA,NA,NA,2,1,2,7,1,1,8,6,7,5,10,6,6,5,9,11,16,6,13,NA,13,17,NA,25,11,NA,23,21,10,30,20,NA,NA,22,15,21,NA,16
"88043",NA,1,1,0,0,1,1,2,2,NA,NA,NA,NA,5,3,1,0,2,NA,1,2,2,0,2,2,0,1,2,7,0,2,0,12,2,1,1,1,1,0,1,3,0,4,7,4
"88044",9,10,NA,3,5,7,6,2,4,NA,NA,NA,NA,8,9,8,9,4,NA,10,8,3,2,3,2,2,1,1,2,6,0,1,2,3,6,9,5,12,1,9,5,7,6,12,9
"88045",2,0,0,4,3,1,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88046",NA,NA,NA,NA,NA,NA,NA,NA,NA,10,11,9,19,7,10,18,16,18,17,12,10,10,3,17,12,10,9,10,10,6,15,7,8,12,11,9,19,11,8,11,9,13,NA,6,NA
"88047",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,4,NA,NA,NA,7,9,2,0,3,4,NA,NA,NA,NA,1,3,6,0,1,NA,NA,2,NA,2,NA
"88048",NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,0,6,4,1,4,8,11,7,3,3,1,5,2,2,2,2,3,2,5,4,2,NA,NA,NA,4,3,6,2,4,3,3,1,3,1
"88049",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,1,2,1,2,3,1,3,3,NA,6,NA,6,14
"88050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,4,5,8,8,3,4,NA,NA,NA,NA,15,11,6,NA,10
"88051",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,NA,NA,0,2,0,1,3,0,3,2,1,1,3,0,5
"88052",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,6,10,11,8,6,NA,7,NA,NA,10,NA,NA,NA,NA,NA
"88116",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"88127",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,14,22,18,27,25,16,NA,10,20,NA,22,13,16,32,17,21,8,NA,25,NA,NA,28
"88133",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,9,8,14,11,10,15,4,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA
"88134",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,5,14,11,10,4,8,12,13,11,14,14,NA,NA,5,16,14,9,10,7,6,11,NA,NA,NA,5,4,0,3
"88135",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,12,12,18,10,17,9,7,4,9,11,19,14,14,9,7,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA
